epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.12,2.18142,2.44095,1.17645,0.42729,0.19325,0.174,0.07481,2.04875,3.67828,1.55979,0.000275514,0.000275514,0.000275514
2,316.882,2.0272,1.51245,1.09734,0.32187,0.33403,0.23843,0.09937,2.05789,3.87535,1.55323,0.000534926,0.000534926,0.000534926
3,462.408,1.98402,1.38925,1.08196,0.36646,0.29538,0.28014,0.12082,2.13359,2.82179,1.57777,0.000776012,0.000776012,0.000776012
4,605.072,1.93892,1.30465,1.0749,0.32628,0.31713,0.24936,0.10511,2.06875,2.60484,1.56428,0.000750533,0.000750533,0.000750533
5,748.544,1.90002,1.23291,1.06156,0.39129,0.34035,0.3037,0.14162,2.02867,2.19698,1.59745,0.000723044,0.000723044,0.000723044
6,893.244,1.86515,1.18488,1.04895,0.4405,0.35915,0.35422,0.17039,1.94113,2.06344,1.53826,0.000695555,0.000695555,0.000695555
7,1038.03,1.84712,1.15717,1.04419,0.42509,0.37826,0.36217,0.18162,1.83756,1.94644,1.47748,0.000668066,0.000668066,0.000668066
8,1181.47,1.82237,1.13053,1.03616,0.46507,0.38333,0.37187,0.17925,1.9253,1.87251,1.51581,0.000640577,0.000640577,0.000640577
9,1329.77,1.81089,1.11596,1.03058,0.46952,0.35348,0.34058,0.17397,1.94257,2.22638,1.53351,0.000613088,0.000613088,0.000613088
10,1478.29,1.79006,1.09235,1.02487,0.4517,0.36663,0.35638,0.17887,1.93586,2.04251,1.50232,0.000585599,0.000585599,0.000585599
11,1626.62,1.77388,1.07754,1.02196,0.47505,0.40376,0.3899,0.19711,1.89875,1.88865,1.49377,0.00055811,0.00055811,0.00055811
12,1770.83,1.7595,1.06074,1.01936,0.49571,0.39569,0.39366,0.19445,1.93895,1.73258,1.51162,0.000530621,0.000530621,0.000530621
13,1918.61,1.76428,1.05339,1.01476,0.49344,0.41443,0.41297,0.20199,1.92002,1.67893,1.51608,0.000503132,0.000503132,0.000503132
14,2057.76,1.73428,1.03605,1.01129,0.49889,0.44005,0.43264,0.21339,1.83998,1.6161,1.4816,0.000475643,0.000475643,0.000475643
15,2194.75,1.7305,1.0314,1.01085,0.53007,0.4343,0.44083,0.22444,1.84501,1.63932,1.46351,0.000448154,0.000448154,0.000448154
16,2333.34,1.71082,1.00869,1.00387,0.52542,0.45689,0.44843,0.22892,1.8421,1.60304,1.47928,0.000420665,0.000420665,0.000420665
17,2472.57,1.70626,1.00692,1.00285,0.48569,0.43884,0.43016,0.22035,1.87165,1.57593,1.47967,0.000393176,0.000393176,0.000393176
18,2612.98,1.68708,0.9912,0.9947,0.51147,0.42617,0.41932,0.2165,1.92807,1.6918,1.55061,0.000365687,0.000365687,0.000365687
19,2755.34,1.68452,0.9891,0.99733,0.555,0.45527,0.4616,0.24202,1.85862,1.52819,1.49083,0.000338198,0.000338198,0.000338198
20,2896.67,1.68009,0.98339,0.99447,0.54922,0.44227,0.45092,0.23531,1.85114,1.61811,1.48093,0.000310709,0.000310709,0.000310709
21,3032.99,1.63788,0.94516,1.00158,0.55478,0.4644,0.46272,0.23862,1.8766,1.52051,1.49914,0.00028322,0.00028322,0.00028322
22,3162.21,1.62382,0.92736,0.99524,0.563,0.45356,0.46575,0.24152,1.85859,1.58894,1.50388,0.000255731,0.000255731,0.000255731
23,3289.27,1.59965,0.91345,0.99177,0.56378,0.47835,0.48468,0.2546,1.80098,1.459,1.4597,0.000228242,0.000228242,0.000228242
24,3417.55,1.59291,0.9064,0.98823,0.56934,0.46007,0.47631,0.2534,1.81265,1.50213,1.46574,0.000200753,0.000200753,0.000200753
25,3544.18,1.58418,0.89769,0.98432,0.57679,0.46845,0.48488,0.25682,1.82876,1.49214,1.49017,0.000173264,0.000173264,0.000173264
26,3668.59,1.57683,0.89309,0.983,0.59353,0.47108,0.48415,0.25528,1.84837,1.43409,1.51395,0.000145775,0.000145775,0.000145775
27,3795.23,1.56042,0.88196,0.98005,0.59245,0.47555,0.48799,0.25695,1.82769,1.48335,1.49228,0.000118286,0.000118286,0.000118286
28,3922.74,1.5497,0.87398,0.97627,0.58494,0.48051,0.49132,0.25924,1.83359,1.47152,1.5055,9.0797e-05,9.0797e-05,9.0797e-05
29,4050.33,1.53892,0.86477,0.97218,0.56481,0.4825,0.48764,0.26076,1.84078,1.47851,1.50335,6.3308e-05,6.3308e-05,6.3308e-05
30,4178.6,1.5368,0.86244,0.97225,0.57592,0.4862,0.4929,0.26347,1.83864,1.45522,1.51189,3.5819e-05,3.5819e-05,3.5819e-05
