epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.586,2.03165,2.5455,1.02137,0.27113,0.17421,0.12235,0.06293,1.82579,1.60946,0.96846,0.000237412,0.000237412,0.000237412
2,276.683,1.86641,1.59039,0.96428,0.23398,0.20996,0.16112,0.08507,1.7504,1.44458,0.94695,0.000465999,0.000465999,0.000465999
3,412.195,1.82677,1.49553,0.95499,0.26708,0.22384,0.16979,0.08946,1.72873,1.48047,0.93616,0.000685161,0.000685161,0.000685161
4,549.083,1.78597,1.42887,0.94568,0.2945,0.23396,0.18657,0.098,1.72478,1.36371,0.93029,0.000671588,0.000671588,0.000671588
5,685.435,1.76424,1.38429,0.94241,0.29872,0.24131,0.19632,0.10183,1.73528,1.34756,0.93329,0.000657451,0.000657451,0.000657451
6,821.915,1.76185,1.36084,0.9347,0.33272,0.24238,0.19834,0.10424,1.71988,1.33719,0.93747,0.000643314,0.000643314,0.000643314
7,957.712,1.72156,1.32069,0.92997,0.35129,0.26466,0.23034,0.12299,1.65624,1.27029,0.91855,0.000629177,0.000629177,0.000629177
8,1094.17,1.72149,1.3032,0.92756,0.32498,0.26123,0.23001,0.12505,1.65331,1.27034,0.915,0.00061504,0.00061504,0.00061504
9,1229.1,1.70511,1.28066,0.92594,0.36073,0.2598,0.23054,0.12472,1.65056,1.25353,0.91255,0.000600902,0.000600902,0.000600902
10,1364.94,1.68831,1.27155,0.92342,0.34661,0.26968,0.24187,0.13206,1.63794,1.224,0.91641,0.000586765,0.000586765,0.000586765
11,1500.85,1.69075,1.25676,0.92072,0.35069,0.27425,0.24539,0.1328,1.61046,1.22098,0.91173,0.000572628,0.000572628,0.000572628
12,1636.23,1.68108,1.24561,0.91816,0.36053,0.27961,0.24967,0.13405,1.62637,1.20999,0.91759,0.000558491,0.000558491,0.000558491
13,1771.81,1.67501,1.22901,0.9128,0.36233,0.282,0.25306,0.13473,1.60439,1.20259,0.90997,0.000544354,0.000544354,0.000544354
14,1906.25,1.66331,1.22334,0.91347,0.34423,0.28947,0.25212,0.13498,1.61259,1.19728,0.90979,0.000530216,0.000530216,0.000530216
15,2043.05,1.6543,1.20895,0.91115,0.34991,0.28382,0.25328,0.13635,1.60171,1.19571,0.90807,0.000516079,0.000516079,0.000516079
16,2180.25,1.64604,1.20103,0.912,0.36219,0.28692,0.2565,0.13907,1.60828,1.17912,0.90264,0.000501942,0.000501942,0.000501942
17,2315.22,1.64192,1.18966,0.90811,0.37004,0.28742,0.26029,0.14141,1.59243,1.17716,0.9083,0.000487805,0.000487805,0.000487805
18,2451.52,1.63953,1.18991,0.90961,0.36714,0.29375,0.26485,0.14446,1.57753,1.17215,0.9009,0.000473668,0.000473668,0.000473668
19,2585.29,1.63591,1.17553,0.90571,0.38851,0.29532,0.26988,0.14576,1.58494,1.16297,0.90089,0.00045953,0.00045953,0.00045953
20,2719.62,1.62977,1.1736,0.9062,0.38999,0.28732,0.27344,0.1492,1.58773,1.15221,0.90139,0.000445393,0.000445393,0.000445393
21,2853.44,1.61965,1.16801,0.90539,0.38496,0.30008,0.27857,0.1512,1.56602,1.14135,0.90358,0.000431256,0.000431256,0.000431256
22,2988.58,1.61599,1.15589,0.90189,0.38989,0.2994,0.28096,0.15112,1.57862,1.14622,0.90108,0.000417119,0.000417119,0.000417119
23,3123.04,1.62341,1.161,0.89997,0.401,0.29464,0.28073,0.15347,1.56846,1.14157,0.89764,0.000402982,0.000402982,0.000402982
24,3256,1.60923,1.14674,0.90065,0.408,0.29825,0.28479,0.15505,1.5628,1.12761,0.89574,0.000388844,0.000388844,0.000388844
25,3389.14,1.60116,1.13737,0.89895,0.39906,0.29206,0.27958,0.15275,1.56719,1.12659,0.89886,0.000374707,0.000374707,0.000374707
26,3523.05,1.60414,1.13705,0.89923,0.4144,0.30775,0.29027,0.15766,1.5496,1.12012,0.89555,0.00036057,0.00036057,0.00036057
27,3657.01,1.59669,1.13187,0.89901,0.38906,0.3123,0.29037,0.15993,1.54293,1.11446,0.89517,0.000346433,0.000346433,0.000346433
28,3790.7,1.59977,1.12837,0.89488,0.40752,0.30775,0.29058,0.15897,1.54746,1.1098,0.89598,0.000332296,0.000332296,0.000332296
29,3924.2,1.58443,1.11299,0.89594,0.40589,0.31354,0.29237,0.159,1.54745,1.11067,0.89566,0.000318158,0.000318158,0.000318158
30,4060.41,1.58188,1.11407,0.89586,0.41946,0.30521,0.29597,0.16156,1.54094,1.10213,0.8933,0.000304021,0.000304021,0.000304021
31,4194.85,1.59198,1.10988,0.89313,0.41116,0.31483,0.29419,0.16146,1.5441,1.10063,0.89546,0.000289884,0.000289884,0.000289884
32,4329.14,1.57392,1.0989,0.8924,0.41885,0.31223,0.29683,0.1617,1.54504,1.10171,0.89531,0.000275747,0.000275747,0.000275747
33,4464.34,1.58201,1.10664,0.89225,0.409,0.31066,0.29804,0.16444,1.54074,1.09659,0.89383,0.00026161,0.00026161,0.00026161
34,4599.83,1.57195,1.09581,0.89189,0.40781,0.31811,0.29907,0.16272,1.53418,1.09694,0.89078,0.000247472,0.000247472,0.000247472
35,4734.59,1.56736,1.08867,0.89061,0.4285,0.31303,0.30229,0.1659,1.52515,1.08703,0.89144,0.000233335,0.000233335,0.000233335
36,4869.09,1.56754,1.09052,0.89026,0.40356,0.31673,0.29758,0.16246,1.52911,1.09282,0.89144,0.000219198,0.000219198,0.000219198
37,5003.18,1.5565,1.08273,0.89071,0.42764,0.31827,0.30372,0.16802,1.52735,1.08169,0.8902,0.000205061,0.000205061,0.000205061
38,5136.42,1.56393,1.08074,0.8893,0.41563,0.32407,0.30513,0.16865,1.52342,1.08092,0.88942,0.000190924,0.000190924,0.000190924
39,5269.28,1.54911,1.06894,0.88707,0.43449,0.31435,0.30634,0.16855,1.51897,1.07869,0.88873,0.000176786,0.000176786,0.000176786
40,5404.2,1.55091,1.07347,0.88778,0.42304,0.31488,0.30448,0.16743,1.5232,1.07865,0.89013,0.000162649,0.000162649,0.000162649
41,5529.18,1.49948,1.04369,0.89223,0.41837,0.31951,0.30262,0.16614,1.52777,1.08305,0.88957,0.000148512,0.000148512,0.000148512
42,5651.86,1.48517,1.02221,0.88962,0.42259,0.32002,0.30346,0.16626,1.52592,1.08113,0.88949,0.000134375,0.000134375,0.000134375
43,5774.09,1.48341,1.01633,0.88833,0.42627,0.31853,0.30707,0.16892,1.52257,1.07625,0.88857,0.000120238,0.000120238,0.000120238
44,5895.92,1.47627,1.00965,0.88638,0.41664,0.31971,0.30336,0.16695,1.52146,1.07728,0.88851,0.0001061,0.0001061,0.0001061
45,6017.52,1.47649,1.00751,0.88501,0.41001,0.32311,0.30459,0.16872,1.51603,1.07442,0.88901,9.19632e-05,9.19632e-05,9.19632e-05
46,6139.9,1.46602,0.9987,0.88428,0.42245,0.31855,0.30464,0.16873,1.51725,1.07147,0.88775,7.7826e-05,7.7826e-05,7.7826e-05
47,6260.36,1.46656,0.9961,0.88418,0.42937,0.32221,0.3076,0.17056,1.51563,1.0692,0.88768,6.36888e-05,6.36888e-05,6.36888e-05
48,6381.71,1.46848,0.9984,0.88367,0.4245,0.32284,0.30755,0.17034,1.51397,1.06816,0.88715,4.95516e-05,4.95516e-05,4.95516e-05
49,6503.91,1.46314,0.99077,0.88132,0.42746,0.32221,0.30771,0.17066,1.51356,1.06625,0.88707,3.54144e-05,3.54144e-05,3.54144e-05
