epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.273,1.08612,1.94994,1.46722,0.26226,0.29374,0.19541,0.07649,2.09511,2.88819,2.3982,0.00055454,0.00055454,0.00055454
2,263.783,1.02855,1.57759,1.43413,0.28835,0.27937,0.18977,0.07232,2.13557,2.62757,2.46674,0.0010788,0.0010788,0.0010788
3,391.705,1.02046,1.47927,1.42288,0.42573,0.37842,0.33169,0.14932,1.94859,2.32439,2.21997,0.00157163,0.00157163,0.00157163
4,516.459,0.96599,1.38874,1.3812,0.2565,0.29857,0.18004,0.06959,2.15294,2.83519,2.52015,0.00152554,0.00152554,0.00152554
5,643.037,0.91043,1.3187,1.35247,0.42282,0.37004,0.33891,0.14841,1.9932,2.22064,2.20827,0.00147839,0.00147839,0.00147839
6,770.353,0.89925,1.27608,1.33879,0.42359,0.3577,0.32594,0.13621,2.02062,2.23012,2.23545,0.00143124,0.00143124,0.00143124
7,908.541,0.87752,1.25067,1.32325,0.48879,0.37734,0.37197,0.16955,1.89755,2.17428,2.12942,0.00138409,0.00138409,0.00138409
8,1042.12,0.85707,1.2114,1.31517,0.46576,0.39732,0.35693,0.15712,1.93411,2.18959,2.1365,0.00133693,0.00133693,0.00133693
9,1170.21,0.8357,1.17686,1.29978,0.46589,0.43219,0.39157,0.17869,1.87854,2.06971,2.10264,0.00128978,0.00128978,0.00128978
10,1297.04,0.82449,1.14307,1.28797,0.4621,0.41669,0.39115,0.18245,1.84056,2.13457,2.1349,0.00124263,0.00124263,0.00124263
11,1426.37,0.81548,1.13934,1.28826,0.46503,0.41291,0.39713,0.17856,1.90244,2.09924,2.0966,0.00119548,0.00119548,0.00119548
12,1553.33,0.80483,1.12473,1.28306,0.49767,0.40533,0.41116,0.18975,1.87738,2.043,2.07311,0.00114832,0.00114832,0.00114832
13,1680.13,0.78971,1.08662,1.2651,0.49944,0.41459,0.4106,0.19771,1.85006,2.02003,2.08884,0.00110117,0.00110117,0.00110117
14,1809.58,0.79675,1.08986,1.26875,0.50662,0.41696,0.41642,0.19378,1.79355,2.01201,2.04528,0.00105402,0.00105402,0.00105402
15,1937.69,0.76741,1.05925,1.25713,0.50835,0.40742,0.4114,0.19358,1.81308,2.04882,2.06467,0.00100687,0.00100687,0.00100687
16,2069.51,0.7679,1.0487,1.25279,0.51745,0.44041,0.44573,0.20208,1.8346,1.96322,2.01845,0.000959716,0.000959716,0.000959716
17,2197.24,0.75144,1.02967,1.24089,0.50131,0.42854,0.42643,0.19766,1.81929,2.00564,2.01989,0.000912563,0.000912563,0.000912563
18,2323.85,0.73974,1.02157,1.23767,0.52551,0.41613,0.42731,0.20027,1.84054,1.96037,2.01973,0.000865411,0.000865411,0.000865411
19,2453.83,0.74149,1.00765,1.23428,0.5412,0.44067,0.44243,0.21494,1.78572,1.92849,2.04238,0.000818259,0.000818259,0.000818259
20,2583.5,0.73519,0.99509,1.23101,0.5308,0.45066,0.44172,0.21667,1.78485,1.92697,2.0381,0.000771107,0.000771107,0.000771107
21,2721.17,0.72537,0.98828,1.22884,0.5525,0.42721,0.45034,0.22262,1.74623,1.92028,1.97959,0.000723954,0.000723954,0.000723954
22,2854.24,0.71854,0.97524,1.21973,0.54801,0.46869,0.46267,0.22266,1.77946,1.901,2.01901,0.000676802,0.000676802,0.000676802
23,2985.29,0.70705,0.94798,1.21226,0.5543,0.44162,0.45375,0.22324,1.76982,1.88122,2.0075,0.00062965,0.00062965,0.00062965
24,3117.19,0.70832,0.94909,1.21509,0.53188,0.44219,0.43889,0.21199,1.7549,1.91106,2.00281,0.000582497,0.000582497,0.000582497
25,3246.71,0.69366,0.93971,1.20605,0.51471,0.44295,0.43865,0.21493,1.74744,1.9139,2.01913,0.000535345,0.000535345,0.000535345
26,3362.34,0.75782,0.90988,1.26509,0.52754,0.46167,0.45738,0.22658,1.73968,1.87621,1.99374,0.000488193,0.000488193,0.000488193
27,3478.88,0.7515,0.89167,1.25668,0.55861,0.45102,0.47169,0.23488,1.733,1.82717,1.96514,0.000441041,0.000441041,0.000441041
28,3592.09,0.74061,0.85853,1.25008,0.56197,0.45817,0.47446,0.23482,1.71234,1.83545,1.97008,0.000393888,0.000393888,0.000393888
29,3706.33,0.72461,0.83262,1.24013,0.55962,0.46078,0.4651,0.23719,1.71028,1.83082,1.96353,0.000346736,0.000346736,0.000346736
30,3825.29,0.70775,0.81531,1.2255,0.56934,0.4542,0.47513,0.24725,1.69459,1.79777,1.94915,0.000299584,0.000299584,0.000299584
31,3945.88,0.70181,0.79545,1.22539,0.57424,0.46369,0.47725,0.24348,1.70178,1.81286,1.9475,0.000252431,0.000252431,0.000252431
32,4065.47,0.69371,0.78183,1.21934,0.57024,0.45748,0.47749,0.24154,1.71269,1.79708,1.94836,0.000205279,0.000205279,0.000205279
33,4184.59,0.68604,0.76783,1.21056,0.5666,0.46572,0.48077,0.24552,1.71405,1.77596,1.95648,0.000158127,0.000158127,0.000158127
34,4304.32,0.6787,0.75861,1.20238,0.59083,0.4661,0.48405,0.2492,1.71099,1.76995,1.94325,0.000110975,0.000110975,0.000110975
35,4424.36,0.67105,0.73935,1.19798,0.5423,0.47219,0.47596,0.24417,1.72218,1.7756,1.95469,6.38223e-05,6.38223e-05,6.38223e-05
